✅ Mesh passed the basic validity checks.

Warnings:
Vertex 0 has valence 0 < 3.
Vertex 1 has valence 0 < 3.
Vertex 2 has valence 0 < 3.
Vertex 3 has valence 0 < 3.
Vertex 4 has valence 0 < 3.
Vertex 5 has valence 0 < 3.
Vertex 6 has valence 0 < 3.
Vertex 7 has valence 0 < 3.
Vertex 8 has valence 0 < 3.
Vertex 9 has valence 0 < 3.
Vertex 10 has valence 0 < 3.
Vertex 11 has valence 0 < 3.
Vertex 12 has valence 0 < 3.
Vertex 13 has valence 0 < 3.
Vertex 14 has valence 0 < 3.
Vertex 15 has valence 0 < 3.
Vertex 16 has valence 0 < 3.
Vertex 17 has valence 0 < 3.
Vertex 18 has valence 0 < 3.
Vertex 19 has valence 0 < 3.
Vertex 20 has valence 0 < 3.
Vertex 21 has valence 0 < 3.
Vertex 22 has valence 0 < 3.
Vertex 23 has valence 0 < 3.
Vertex 24 has valence 0 < 3.
Vertex 25 has valence 0 < 3.
Vertex 26 has valence 0 < 3.
Vertex 27 has valence 0 < 3.
Vertex 28 has valence 0 < 3.
Vertex 29 has valence 0 < 3.
Vertex 30 has valence 0 < 3.
Vertex 31 has valence 0 < 3.
Vertex 32 has valence 0 < 3.
Vertex 33 has valence 0 < 3.
Vertex 34 has valence 0 < 3.
Vertex 35 has valence 0 < 3.
Vertex 36 has valence 0 < 3.
Vertex 37 has valence 0 < 3.
Vertex 38 has valence 0 < 3.
Vertex 39 has valence 0 < 3.
Vertex 40 has valence 0 < 3.
Vertex 41 has valence 0 < 3.
Vertex 42 has valence 0 < 3.
Vertex 43 has valence 0 < 3.
Vertex 44 has valence 0 < 3.
Vertex 45 has valence 0 < 3.
Vertex 46 has valence 0 < 3.
Vertex 47 has valence 0 < 3.
Vertex 48 has valence 0 < 3.
Vertex 49 has valence 0 < 3.
Vertex 50 has valence 0 < 3.
Vertex 51 has valence 0 < 3.
Vertex 52 has valence 0 < 3.
Vertex 53 has valence 0 < 3.
Vertex 54 has valence 0 < 3.
Vertex 55 has valence 0 < 3.
Vertex 56 has valence 0 < 3.
Vertex 57 has valence 0 < 3.
Vertex 58 has valence 0 < 3.
Vertex 59 has valence 0 < 3.
Vertex 60 has valence 0 < 3.
Vertex 61 has valence 0 < 3.
Vertex 62 has valence 0 < 3.
Vertex 63 has valence 0 < 3.
Vertex 64 has valence 0 < 3.
Vertex 65 has valence 0 < 3.
Vertex 66 has valence 0 < 3.
Vertex 67 has valence 0 < 3.
Vertex 68 has valence 0 < 3.
Vertex 69 has valence 0 < 3.
Vertex 70 has valence 0 < 3.
Vertex 71 has valence 0 < 3.
Vertex 72 has valence 0 < 3.
Vertex 73 has valence 0 < 3.
Vertex 74 has valence 0 < 3.
Vertex 75 has valence 0 < 3.
Vertex 76 has valence 0 < 3.
Vertex 77 has valence 0 < 3.
Vertex 78 has valence 0 < 3.
Vertex 79 has valence 0 < 3.
Vertex 80 has valence 0 < 3.
Vertex 81 has valence 0 < 3.
Vertex 82 has valence 0 < 3.
Vertex 83 has valence 0 < 3.
Vertex 84 has valence 0 < 3.
Vertex 85 has valence 0 < 3.
Vertex 86 has valence 0 < 3.
Vertex 87 has valence 0 < 3.
Vertex 88 has valence 0 < 3.
Vertex 89 has valence 0 < 3.
Vertex 90 has valence 0 < 3.
Vertex 91 has valence 0 < 3.
Vertex 92 has valence 0 < 3.
Vertex 93 has valence 0 < 3.
Vertex 94 has valence 0 < 3.
Vertex 95 has valence 0 < 3.
Vertex 96 has valence 0 < 3.
Vertex 97 has valence 0 < 3.
Vertex 98 has valence 0 < 3.
Vertex 99 has valence 0 < 3.
Vertex 100 has valence 0 < 3.
Vertex 101 has valence 0 < 3.
Vertex 102 has valence 0 < 3.
Vertex 103 has valence 0 < 3.
Vertex 104 has valence 0 < 3.
Vertex 105 has valence 0 < 3.
Vertex 106 has valence 0 < 3.
Vertex 107 has valence 0 < 3.
Vertex 108 has valence 0 < 3.
Vertex 109 has valence 0 < 3.
Vertex 110 has valence 0 < 3.
Vertex 111 has valence 0 < 3.
Vertex 112 has valence 0 < 3.
Vertex 113 has valence 0 < 3.
Vertex 114 has valence 0 < 3.
Vertex 115 has valence 0 < 3.
Vertex 116 has valence 0 < 3.
Vertex 117 has valence 0 < 3.
Vertex 118 has valence 0 < 3.
Vertex 119 has valence 0 < 3.
Vertex 120 has valence 0 < 3.
Vertex 121 has valence 0 < 3.
Vertex 122 has valence 0 < 3.
Vertex 123 has valence 0 < 3.
Vertex 124 has valence 0 < 3.
Vertex 125 has valence 0 < 3.
Vertex 126 has valence 0 < 3.
Vertex 127 has valence 0 < 3.
Vertex 128 has valence 0 < 3.
Vertex 129 has valence 0 < 3.
Vertex 130 has valence 0 < 3.
Vertex 131 has valence 0 < 3.
Vertex 132 has valence 0 < 3.
Vertex 133 has valence 0 < 3.
Vertex 134 has valence 0 < 3.
Vertex 135 has valence 0 < 3.
Vertex 136 has valence 0 < 3.
Vertex 137 has valence 0 < 3.
Vertex 138 has valence 0 < 3.
Vertex 139 has valence 0 < 3.
Vertex 140 has valence 0 < 3.
Vertex 141 has valence 0 < 3.
Vertex 142 has valence 0 < 3.
Vertex 143 has valence 0 < 3.
Vertex 144 has valence 0 < 3.
Vertex 145 has valence 0 < 3.
Vertex 146 has valence 0 < 3.
Vertex 147 has valence 0 < 3.
Vertex 148 has valence 0 < 3.
Vertex 149 has valence 0 < 3.
Vertex 150 has valence 0 < 3.
Vertex 151 has valence 0 < 3.
Vertex 152 has valence 0 < 3.
Vertex 153 has valence 0 < 3.
Vertex 154 has valence 0 < 3.
Vertex 155 has valence 0 < 3.
Vertex 156 has valence 0 < 3.
Vertex 157 has valence 0 < 3.
Vertex 158 has valence 0 < 3.
Vertex 159 has valence 0 < 3.
Vertex 160 has valence 0 < 3.
Vertex 161 has valence 0 < 3.
Vertex 162 has valence 0 < 3.
Vertex 163 has valence 0 < 3.
Vertex 164 has valence 0 < 3.
Vertex 165 has valence 0 < 3.
Vertex 166 has valence 0 < 3.
Vertex 167 has valence 0 < 3.
Vertex 168 has valence 0 < 3.
Vertex 169 has valence 0 < 3.
Vertex 170 has valence 0 < 3.
Vertex 171 has valence 0 < 3.
Vertex 172 has valence 0 < 3.
Vertex 173 has valence 0 < 3.
Vertex 174 has valence 0 < 3.
Vertex 175 has valence 0 < 3.
Vertex 176 has valence 0 < 3.
Vertex 177 has valence 0 < 3.
Vertex 178 has valence 0 < 3.
Vertex 179 has valence 0 < 3.
Vertex 180 has valence 0 < 3.
Vertex 181 has valence 0 < 3.
Vertex 182 has valence 0 < 3.
Vertex 183 has valence 0 < 3.
Vertex 184 has valence 0 < 3.
Vertex 185 has valence 0 < 3.
Vertex 186 has valence 0 < 3.
Vertex 187 has valence 0 < 3.
Vertex 188 has valence 0 < 3.
Vertex 189 has valence 0 < 3.
Vertex 190 has valence 0 < 3.
Vertex 191 has valence 0 < 3.
Vertex 192 has valence 0 < 3.
Vertex 193 has valence 0 < 3.
Vertex 194 has valence 0 < 3.
Vertex 195 has valence 0 < 3.
Vertex 196 has valence 0 < 3.
Vertex 197 has valence 0 < 3.
Vertex 198 has valence 0 < 3.
Vertex 199 has valence 0 < 3.
Vertex 200 has valence 0 < 3.
Vertex 201 has valence 0 < 3.
Vertex 202 has valence 0 < 3.
Vertex 203 has valence 0 < 3.
Vertex 204 has valence 0 < 3.
Vertex 205 has valence 0 < 3.
Vertex 206 has valence 0 < 3.
Vertex 207 has valence 0 < 3.
Vertex 208 has valence 0 < 3.
Vertex 209 has valence 0 < 3.
Vertex 210 has valence 0 < 3.
Vertex 211 has valence 0 < 3.
Vertex 212 has valence 0 < 3.
Vertex 213 has valence 0 < 3.
Vertex 214 has valence 0 < 3.
Vertex 215 has valence 0 < 3.
Vertex 216 has valence 0 < 3.
Vertex 217 has valence 0 < 3.
Vertex 218 has valence 0 < 3.
Vertex 219 has valence 0 < 3.
Vertex 220 has valence 0 < 3.
Vertex 221 has valence 0 < 3.
Vertex 222 has valence 0 < 3.
Vertex 223 has valence 0 < 3.
Vertex 224 has valence 0 < 3.
Vertex 225 has valence 0 < 3.
Vertex 226 has valence 0 < 3.
Vertex 227 has valence 0 < 3.
Vertex 228 has valence 0 < 3.
Vertex 229 has valence 0 < 3.
Vertex 230 has valence 0 < 3.
Vertex 231 has valence 0 < 3.
Vertex 232 has valence 0 < 3.
Vertex 233 has valence 0 < 3.
Vertex 234 has valence 0 < 3.
Vertex 235 has valence 0 < 3.
Vertex 236 has valence 0 < 3.
Vertex 237 has valence 0 < 3.
Vertex 238 has valence 0 < 3.
Vertex 239 has valence 0 < 3.
Vertex 240 has valence 0 < 3.
Vertex 241 has valence 0 < 3.
Vertex 242 has valence 0 < 3.
Vertex 243 has valence 0 < 3.
Vertex 244 has valence 0 < 3.
Vertex 245 has valence 0 < 3.
Vertex 246 has valence 0 < 3.
Vertex 247 has valence 0 < 3.
Vertex 248 has valence 0 < 3.
Vertex 249 has valence 0 < 3.
Vertex 250 has valence 0 < 3.
Vertex 251 has valence 0 < 3.
Vertex 252 has valence 0 < 3.
Vertex 253 has valence 0 < 3.
Vertex 254 has valence 0 < 3.
Vertex 255 has valence 0 < 3.
Vertex 256 has valence 0 < 3.
Vertex 257 has valence 0 < 3.
Vertex 258 has valence 0 < 3.
Vertex 259 has valence 0 < 3.
Vertex 260 has valence 0 < 3.
Vertex 261 has valence 0 < 3.
Vertex 262 has valence 0 < 3.
Vertex 263 has valence 0 < 3.
Vertex 264 has valence 0 < 3.
Vertex 265 has valence 0 < 3.
Vertex 266 has valence 0 < 3.
Vertex 267 has valence 0 < 3.
Vertex 268 has valence 0 < 3.
Vertex 269 has valence 0 < 3.
Vertex 270 has valence 0 < 3.
Vertex 271 has valence 0 < 3.
Vertex 272 has valence 0 < 3.
Vertex 273 has valence 0 < 3.
Vertex 274 has valence 0 < 3.
Vertex 275 has valence 0 < 3.
Vertex 276 has valence 0 < 3.
Vertex 277 has valence 0 < 3.
Vertex 278 has valence 0 < 3.
Vertex 279 has valence 0 < 3.
Vertex 280 has valence 0 < 3.
Vertex 281 has valence 0 < 3.
Vertex 282 has valence 0 < 3.
Vertex 283 has valence 0 < 3.
Vertex 284 has valence 0 < 3.
Vertex 285 has valence 0 < 3.
Vertex 286 has valence 0 < 3.
Vertex 287 has valence 0 < 3.
Vertex 288 has valence 0 < 3.
Vertex 289 has valence 0 < 3.
Vertex 290 has valence 0 < 3.
Vertex 291 has valence 0 < 3.
Vertex 292 has valence 0 < 3.
Vertex 293 has valence 0 < 3.
Vertex 294 has valence 0 < 3.
Vertex 295 has valence 0 < 3.
Vertex 296 has valence 0 < 3.
Vertex 297 has valence 0 < 3.
Vertex 298 has valence 0 < 3.
Vertex 299 has valence 0 < 3.
Vertex 300 has valence 0 < 3.
Vertex 301 has valence 0 < 3.
Vertex 302 has valence 0 < 3.
Vertex 303 has valence 0 < 3.
